length,depth,tautology,CPU time (sec),peak memory (bytes)
7,3,True,0.015625,6273
7,3,False,0.015625,16198
7,3,True,0.0,6695
7,4,False,0.046875,26510
7,3,False,0.015625,4645
7,3,False,0.015625,7243
7,3,False,0.0,5462
7,2,False,0.03125,6835
7,3,False,0.046875,21901
7,3,False,0.03125,16769
7,2,False,0.03125,3732
7,2,False,0.015625,7083
7,4,False,0.234375,88058
7,5,False,0.09375,36308
7,3,False,0.078125,31215
7,2,False,0.03125,5666
7,3,False,0.0,13025
7,3,False,0.015625,4638
7,2,True,0.03125,7295
7,3,True,0.015625,3407
7,3,False,0.03125,13813
7,2,False,0.015625,15174
7,2,False,0.015625,15417
7,4,False,0.1875,61292
7,4,False,0.109375,81744
7,2,False,0.0,6042
7,3,False,0.015625,4211
7,6,False,0.359375,132972
7,3,False,0.015625,7499
7,3,False,0.0,9570
7,3,False,0.125,27107
7,4,False,0.015625,13049
7,3,False,0.0,12259
7,3,False,0.015625,17629
7,3,False,0.015625,8091
7,3,False,0.046875,10793
7,3,False,0.140625,30763
7,4,False,0.0,6278
7,3,False,0.015625,5462
7,3,False,0.0,4331
7,3,False,0.015625,10104
7,5,False,0.359375,50853
7,3,False,0.046875,10079
7,3,True,0.015625,5978
7,3,True,0.015625,3637
7,4,False,0.03125,13111
7,3,False,0.015625,6160
7,3,False,0.0,12334
7,3,False,0.09375,16922
7,2,False,0.0,5573
7,4,False,1.96875,181016
7,3,False,0.171875,63205
7,3,False,0.015625,5722
7,2,False,0.015625,5723
7,2,False,0.03125,14325
7,3,False,0.03125,23917
7,3,True,0.0,4254
7,3,False,0.0,5849
7,3,True,0.0,13347
7,3,True,0.03125,12410
7,3,True,0.03125,12602
7,4,False,0.015625,16914
7,3,False,0.046875,22143
7,2,True,0.015625,7509
7,3,True,0.0,3509
7,2,False,0.015625,6083
7,3,True,0.0,3670
7,3,False,0.0,7437
7,3,False,0.015625,17855
7,3,False,0.0,5523
7,5,False,12.140625,1118048
7,3,False,0.03125,13977
7,3,True,0.015625,17205
7,2,False,0.015625,6573
7,3,False,0.03125,24127
7,3,True,0.015625,3510
7,3,False,0.015625,9249
7,4,False,0.703125,90266
7,3,False,0.125,53313
7,4,False,0.015625,7973
7,2,False,0.015625,9290
7,3,False,0.015625,5523
7,1,False,0.015625,4939
7,2,False,0.015625,5631
7,3,False,0.046875,21359
7,3,False,0.015625,11338
7,2,False,0.03125,3963
7,3,False,0.03125,7285
7,2,True,0.015625,3799
7,4,False,0.21875,98014
7,3,False,0.03125,9645
7,4,False,0.078125,32407
7,3,False,0.046875,19205
7,2,False,0.046875,16379
7,3,False,0.078125,15466
7,3,False,0.03125,8142
7,4,False,0.015625,11575
7,3,False,0.03125,10785
7,3,False,0.125,27719
7,3,False,0.03125,16945
7,4,False,0.015625,26853
7,3,False,0.0,13564
7,3,False,0.0,10093
7,1,False,0.015625,5147
7,3,False,0.0,16783
7,2,False,0.0,5079
7,4,False,0.109375,37141
7,3,False,0.03125,11938
7,3,False,0.03125,9067
7,3,False,0.03125,15227
7,3,False,0.0,4693
7,2,False,0.0,4599
7,3,False,0.0625,27487
7,3,False,0.140625,33783
7,3,False,0.03125,19783
7,2,False,0.03125,6223
7,3,True,0.015625,10198
7,3,True,0.078125,11992
7,2,False,0.03125,14785
7,3,False,0.015625,10934
7,5,False,3.53125,237091
7,3,False,0.0,5870
7,3,False,0.03125,4702
7,2,True,0.015625,5531
7,3,False,0.015625,7941
7,3,False,0.0,10103
7,4,False,0.0625,33637
7,2,True,0.03125,7429
7,3,False,0.015625,5319
7,4,False,0.0625,31379
7,4,False,0.78125,187768
7,3,False,0.03125,15330
7,2,False,0.015625,6195
7,3,False,0.03125,22251
8,3,False,0.015625,12763
8,3,False,0.015625,16553
8,3,False,0.015625,24114
8,2,False,0.0,7183
8,2,False,0.015625,21341
8,3,False,0.015625,9651
8,4,False,0.03125,10413
8,2,False,0.015625,15760
8,3,False,0.015625,6663
8,3,False,0.015625,10805
8,3,False,0.078125,21733
8,5,False,0.078125,23721
8,3,False,0.0625,6677
8,3,False,0.03125,7689
8,3,False,0.015625,4181
8,3,False,0.03125,9078
8,3,True,0.015625,5567
8,4,False,0.0625,30472
8,3,False,0.0,6458
8,4,False,0.03125,16676
8,3,False,0.046875,14224
8,2,False,0.015625,3387
8,3,False,0.0,8887
8,3,False,0.046875,20773
8,2,True,0.0,6723
8,3,True,0.0,7259
8,3,False,0.03125,16676
8,3,True,0.015625,8251
8,3,True,0.015625,4763
8,3,False,0.015625,5978
8,3,False,0.015625,6017
8,2,False,0.015625,5954
8,3,False,0.015625,4018
8,3,False,0.03125,17413
8,3,False,0.046875,18041
8,4,False,0.046875,32052
8,5,False,0.34375,282213
8,3,False,0.015625,8548
8,3,False,0.015625,7393
8,4,False,0.015625,13871
8,3,False,0.0,7537
8,3,False,0.015625,8528
8,3,False,0.03125,16870
8,5,False,0.234375,108880
8,3,False,0.125,62410
8,4,False,0.203125,43162
8,3,False,0.03125,19305
8,4,False,0.015625,6650
8,2,True,0.015625,4274
